date,hour,temp_KC,temp_KS,temp_MT,temp_ND,temp_OK,temp_SD,wind_east_KC,wind_east_KS,wind_east_MT,wind_east_ND,wind_east_OK,wind_east_SD,wind_north_KC,wind_north_KS,wind_north_MT,wind_north_ND,wind_north_OK,wind_north_SD
2018-01-02,1,257.61108,261.01688,248.36969,257.56012,263.6771,248.98686,-0.70757633,-1.9171609,4.305661,-0.6808069,-2.2977614,3.5328305,-0.95241845,-2.3181794,4.0305705,-0.9052433,-2.443977,2.9491284
2018-01-02,2,257.82318,260.97153,248.57384,257.80292,263.7624,249.35081,-0.51942515,-1.586541,4.3955255,-0.53037053,-2.285378,3.7216897,-0.9619788,-2.2156625,4.1491985,-0.95900863,-2.3354466,2.9810257
2018-01-02,3,258.02634,260.73227,248.59917,258.0081,263.95245,249.85002,-0.13206972,-1.140821,4.3639345,-0.15152119,-2.2316697,3.7177603,-0.70735884,-1.8592912,4.1420975,-0.7177861,-2.3065724,2.979758
2018-01-02,4,258.15787,260.77277,248.93546,258.13416,264.00702,250.74298,-0.0012395448,-0.845597,4.4143143,-0.0014316578,-2.2448335,3.61895,-0.3694243,-1.4140197,4.095286,-0.37789246,-2.2688808,3.0075614
2018-01-02,5,258.13266,260.7961,250.16428,258.1163,263.705,251.8965,0.019916728,-0.5243731,4.6980267,0.028192764,-1.9790611,3.713986,-0.26193404,-1.1047179,4.439171,-0.25017974,-2.2429123,3.1344914
2018-01-02,6,257.91626,260.7521,251.98718,257.91217,263.6517,252.37144,0.0021279503,-0.04174886,5.1680512,0.011817031,-1.8727772,3.917482,-0.28069213,-0.67205685,4.939471,-0.26084888,-1.9844387,3.3010736
2018-01-02,7,257.88452,260.6785,253.92291,257.89365,263.75156,252.32896,0.021087065,0.4513938,5.6026163,0.01670132,-1.8369726,4.1315136,-0.31177202,-0.07286803,5.4800487,-0.3066374,-1.85168,3.5144718
2018-01-02,8,258.19766,260.43112,255.40756,258.1934,264.1018,252.25249,0.21864168,0.84271175,5.8462896,0.1982802,-1.7051488,4.4051046,-0.14086305,0.5675307,5.9393363,-0.15157463,-1.7672507,3.755458
2018-01-02,9,259.73636,261.4735,255.53285,259.7147,264.82098,253.19044,0.71088135,1.2479368,5.7203145,0.67768365,-1.7077888,4.7820992,0.27938187,0.99167055,5.995143,0.25618926,-1.7290593,4.107803
2018-01-02,10,261.4125,263.18628,256.5036,261.38596,265.49295,255.52628,1.4071624,2.639631,5.864009,1.3565406,-1.3293501,4.7822294,0.92557013,2.2720828,6.0737495,0.8848251,-1.6555324,3.9607046
2018-01-02,11,263.1413,264.86966,258.43146,263.11993,266.13965,257.96027,1.9296883,3.310338,5.904249,1.8668445,-0.7345508,5.1963468,1.4658818,2.9361718,6.107422,1.4133035,-1.3407787,4.318864
2018-01-02,12,264.4646,266.5296,260.66937,264.493,266.62476,259.88428,2.3171005,3.5389724,5.805261,2.2515821,-0.081925906,5.8755536,1.8639351,3.1423016,6.017857,1.8156382,-0.5787829,4.952825
2018-01-02,15,266.44876,269.85025,265.54404,266.41394,267.41968,262.08392,2.9537845,3.3152385,4.8696165,2.9111402,1.314839,7.2210417,2.3765638,3.2064097,5.530576,2.3220105,1.3453281,6.354006
2018-01-02,18,264.19446,267.12045,263.3984,264.33987,266.64584,262.08932,1.7602793,1.8698808,3.0468142,1.8158885,1.3111929,6.3465476,1.2969236,1.5850728,3.9381282,1.3505604,1.3973659,6.7068143
2018-01-02,21,264.4605,265.87775,261.6706,264.4647,264.99222,261.16702,3.124924,3.6258514,1.9369848,3.1010919,1.7545677,3.4508772,2.5315137,3.3769395,2.6040227,2.519333,1.4807073,4.631587
2018-01-02,24,264.29498,267.76886,261.02277,264.40668,263.98386,257.9825,3.6957107,4.283887,1.6065092,3.7114968,2.3612866,3.105981,3.1671944,4.6751804,2.0203195,3.1893601,2.1183248,3.9496462
2018-01-03,1,264.8022,267.1714,258.1611,264.80792,263.50412,256.22394,5.128876,3.923719,1.8008745,5.162569,3.3139198,3.0200438,4.7171965,4.4694457,2.0288901,4.6755667,3.1266117,3.7858453
2018-01-03,2,264.45193,267.65735,256.85593,264.5883,263.44254,255.66254,4.719373,3.598859,1.4665257,4.779735,3.5918872,2.9839358,4.6238155,4.245162,1.8948842,4.6341476,3.3141484,3.7393394
2018-01-03,3,263.9529,267.86124,255.80405,264.0852,263.51517,255.34824,4.6644793,3.2537134,1.1542022,4.6963773,3.7922335,2.964833,4.506351,3.9173112,1.5073111,4.505877,3.610884,3.6693945
2018-01-03,4,263.6178,266.50302,255.09663,263.6745,263.57584,254.86311,4.204827,3.081791,0.97679085,4.2864575,3.761883,2.6720986,4.559932,3.5437183,1.2237184,4.5882435,3.5914135,3.6268914
2018-01-03,5,263.78745,265.71045,255.16795,263.8235,263.91946,254.28949,3.5867605,3.1816566,0.83916765,3.7143414,4.0343065,2.5178447,4.244565,3.4664853,1.075652,4.309751,3.720253,3.289402
2018-01-03,6,263.75278,265.36365,255.60008,263.8194,264.02646,253.7327,2.940281,3.020235,0.6081462,3.0399044,4.2543674,2.4538846,3.6489134,3.451993,0.9011597,3.7428846,4.0276136,3.0832431
2018-01-03,7,263.361,264.89276,256.17432,263.4421,264.0476,253.19702,2.6169543,2.5546741,0.36642966,2.6799119,4.056797,2.2336655,3.33427,3.2785182,0.64101815,3.3925202,4.260655,2.9512746
2018-01-03,8,263.0943,264.3777,256.57278,263.17233,264.4017,252.60878,2.462001,2.0463514,0.03757357,2.5027518,3.5062401,2.0925224,3.2231443,2.938754,0.37278187,3.263431,4.1171083,2.6633267
2018-01-03,9,263.68347,265.84137,256.5247,263.75244,266.9025,253.11905,2.522132,1.6154338,-0.2544551,2.5299404,2.6829066,2.130468,3.4172492,2.2976992,-0.1917453,3.415464,3.4113665,2.4957225
2018-01-03,10,264.11194,268.4363,257.6325,264.18262,270.5652,254.51134,2.8745906,0.9053516,-0.42464843,2.8873284,1.5889686,2.196249,3.847798,1.4900235,-0.46108764,3.854639,2.2355614,2.6359637
2018-01-03,11,264.71515,269.69925,260.40637,264.77222,273.56015,255.68037,3.171566,0.63816494,-0.4482573,3.1889117,0.24248171,2.347558,3.9229136,1.2603682,-0.44379845,3.9329457,1.0206963,2.6765542
2018-01-03,12,265.4192,270.56317,263.0205,265.47125,274.92175,256.81036,3.5282784,1.179643,-0.47160143,3.5519814,-0.17366669,2.8255832,4.1689634,1.3360978,-0.5841799,4.186421,0.55415344,2.962006
2018-01-03,15,266.45172,272.82162,266.32538,266.47467,276.12628,258.40094,3.8456073,1.9972956,-0.6093044,3.870094,1.7231395,2.5848854,4.5590706,2.4363198,-0.8854857,4.582121,2.3481402,3.3977513
2018-01-03,18,263.77264,269.34738,264.8016,263.89914,271.11917,255.92113,1.8633325,-0.48172304,-0.73563415,1.9382744,0.058811244,0.9532684,3.2720673,-0.050713602,-1.0669636,3.334267,0.98004884,1.4943185
2018-01-03,21,261.76572,267.48322,262.4821,261.91714,269.6277,255.28517,0.715159,-0.8102154,0.51214015,0.7334022,-0.5246953,-0.5487624,1.3736225,-1.0566915,0.44275293,1.4245262,-0.2290024,-0.19974709
2018-01-03,24,260.11447,265.67752,262.33752,260.24496,268.669,254.95187,0.035197016,-0.596059,0.5338521,0.03078852,-1.3403025,-1.0394351,0.59125984,-0.8613066,0.7550823,0.59483033,-1.2154585,-1.2836356
2018-01-04,1,261.2557,266.93274,261.2183,261.34073,270.20184,254.61658,-0.09773809,-0.45218495,1.830504,-0.08530381,-0.15858684,-0.5451935,0.39886647,-0.86034244,2.1124353,0.43318146,-0.042449422,-0.37423134
2018-01-04,2,260.5987,266.88126,261.05054,260.69443,269.72418,254.71538,-0.36762142,-0.4677591,1.8837743,-0.3613095,-0.79525554,-0.8045027,0.21970011,-0.83627814,2.1366384,0.24962302,-0.6090175,-0.72121406
2018-01-04,3,260.01346,266.48898,261.01227,260.13544,269.1318,255.35327,-0.522979,-0.65244764,2.0607078,-0.5402642,-1.4399772,-0.92022544,-0.058583964,-0.93365943,2.2760627,-0.03847211,-1.2879,-0.92778337
2018-01-04,4,259.53305,266.27014,261.07556,259.6438,268.61688,255.93916,-0.40105563,-0.84915465,2.1182675,-0.42973867,-1.6869183,-0.8142914,-0.19028763,-1.0559579,2.3698754,-0.20314784,-1.5343267,-1.0107657
2018-01-04,5,259.12195,265.95105,261.2666,259.20795,268.4928,256.3589,-0.06425367,-0.9646208,2.0559347,-0.09377845,-1.6186894,-0.4365781,-0.05713222,-1.224297,2.3390362,-0.07759165,-1.6118414,-0.89929706
2018-01-04,6,258.89474,265.4922,261.40396,258.98553,268.31955,256.66125,0.1861982,-0.85843706,2.0925186,0.16606423,-1.5374489,-0.37483022,0.3561967,-1.1966113,2.2463055,0.33284608,-1.608535,-0.62401515
2018-01-04,7,258.7143,264.98245,261.40732,258.76544,267.93842,256.90698,0.25327998,-0.55761135,1.9562553,0.2575747,-1.6199092,-0.65994465,0.543068,-0.89711916,2.2048252,0.53390473,-1.6677899,-0.8167773
2018-01-04,8,258.78302,264.56146,261.27927,258.80957,267.90366,257.12183,0.3790403,-0.4150249,1.8009751,0.39441696,-1.6330249,-0.92264026,0.6697559,-0.7424875,2.0115402,0.6938174,-1.7207824,-1.0797738
2018-01-04,9,259.73697,265.66302,261.11124,259.72104,269.82587,257.44473,0.23201936,-0.56296617,1.6624339,0.27322766,-2.048101,-1.1409405,0.7032736,-0.791352,1.8568424,0.7426758,-2.1170316,-1.3326447
2018-01-04,10,261.13226,268.9032,261.3923,261.0956,271.67288,257.92172,0.40342286,-0.71324384,1.4496229,0.4398182,-2.3813643,-1.0013207,0.57278097,-1.0091484,1.6683517,0.6295144,-2.5741751,-1.3493727
