date,hour,load,zone_1_wind_production,zone_2_wind_production,neighbor_region_3_load,wind,zone_4_wind_production,neighbor_region_1_load,zone_5_wind_production,natural_gas,zone_3_wind_production,rtmce,nuclear,damce,neighbor_region_2_load,coal
2018-01-01,1,36094.722,281.333,370.242,25957.52,3199.7916666666665,2123.067,18294.1,607.925,6169.508333333333,30.267,120.7296,2034.5583333333334,38.2173,42119.1,21181.208333333332
2018-01-01,2,36045.346,275.667,303.42,26144.27,3174.883333333333,2073.511,18085.56,506.675,6163.45,13.083,29.2681,2034.0083333333334,38.0748,41849.51,21196.3
2018-01-01,3,36047.53466666667,275.942,247.975,26361.89,3149.233333333333,2280.695,18000.78,359.767,6049.808333333333,3.183,50.5867,2034.4166666666667,38.8437,41929.49,21257.625
2018-01-01,4,36350.962166666664,257.808,261.5,26689.45,2917.175,2336.192,18014.06,259.0,6681.791666666667,1.85,29.1771,2034.425,41.6665,42307.9,21143.833333333332
2018-01-01,5,37008.10433333334,203.783,228.567,27360.46,2664.925,2222.349,18275.17,201.717,7428.383333333333,3.875,128.1511,2034.125,42.9746,43089.32,21061.4
2018-01-01,6,37634.05216666667,157.067,195.933,28000.35,2232.1833333333334,2068.6,18554.16,156.425,7563.65,7.95,40.3995,2033.75,51.0725,44043.4,21213.15
2018-01-01,7,38090.23258333333,98.908,146.208,28356.23,1847.175,1793.575,18875.02,114.625,8303.175,9.967,54.3667,2034.1,50.1342,44340.96,21095.541666666668
2018-01-01,8,38025.00816666667,38.1,109.0,28654.01,1539.8666666666666,1526.475,19094.14,98.05,8701.491666666667,10.408,39.5645,2034.6333333333334,54.7936,44824.26,21070.516666666666
2018-01-01,9,37892.16933333333,43.15,64.984,28574.22,1238.8916666666667,1255.58,19286.31,111.558,8585.816666666668,14.567,47.388,2034.0166666666667,54.5429,45325.2,21122.041666666668
2018-01-01,10,37561.94941666667,42.6,60.292,28257.93,916.4583333333334,918.517,19278.82,130.233,8597.508333333333,17.933,46.0972,2034.275,70.526,45486.97,21233.025
2018-01-01,11,36905.78158333333,22.767,50.992,27715.18,722.2916666666666,629.758,19341.66,144.642,7817.216666666666,14.883,54.803,2033.9916666666666,70.142,45185.31,21375.208333333332
2018-01-01,12,36044.45825,16.45,53.95,26748.39,691.4083333333333,467.808,19147.86,156.567,7227.5,13.892,47.5991,2034.1,57.442,44764.67,21267.275
2018-01-01,13,35119.949166666665,22.725,108.715,25968.84,716.975,377.989,18906.24,156.842,6523.666666666667,13.267,47.2093,2034.2166666666667,50.4269,44244.2,21247.25833333333
2018-01-01,14,34530.687666666665,16.358,179.442,25497.25,791.0166666666667,291.683,18776.48,206.158,6073.508333333333,30.017,35.548,2034.1666666666667,46.8771,43909.43,21443.683333333334
2018-01-01,15,34428.318166666664,18.608,243.992,25492.27,915.475,257.908,18926.91,231.125,5611.3,45.242,32.4636,2034.4333333333334,43.7012,44501.01,21563.483333333334
2018-01-01,16,35237.42825,20.042,369.083,26266.11,1258.2666666666667,271.3,19745.43,247.817,6200.366666666667,45.242,30.8949,2034.125,43.0908,47113.25,21530.483333333334
2018-01-01,17,37584.09258333333,38.006,551.308,27990.82,1753.1333333333334,310.692,21116.02,347.392,7294.758333333333,51.2,43.3929,2034.1833333333334,48.4184,49519.87,21212.541666666668
2018-01-01,18,38926.1055,79.017,650.833,29014.63,2797.625,533.617,21301.49,536.25,7254.125,94.95,108.6037,2034.0,75.087,49644.61,21492.483333333334
2018-01-01,19,38995.52733333333,113.883,990.967,29231.03,3714.2083333333335,1009.108,20972.62,673.625,7103.475,195.083,51.4081,2034.4333333333334,69.4749,49143.76,21660.425
2018-01-01,20,38851.21041666667,166.902,1207.75,29273.36,3931.8166666666666,1342.733,20561.68,762.75,6911.5,314.417,51.5882,2034.7416666666666,61.3877,48328.73,21577.358333333334
2018-01-01,21,38399.9865,192.359,1325.617,29025.58,4049.991666666667,1287.292,19968.54,793.825,6806.133333333333,345.242,51.066,2034.4416666666666,56.0814,46866.18,21442.533333333333
2018-01-01,22,37294.957083333335,219.871,1394.292,28422.47,4099.216666666666,1181.292,19215.38,944.917,6108.55,294.05,48.2866,2034.475,51.32,45286.14,21250.4
2018-01-01,23,36343.53275,255.527,1275.4,27878.59,4047.491666666667,1147.767,18590.63,1069.5,5995.483333333334,364.158,47.3379,2033.6583333333333,48.1036,44136.22,21103.966666666667
2018-01-01,24,35810.70333333333,273.68,1216.908,27598.87,3981.366666666667,1023.542,18181.89,1107.383,5210.1,377.825,50.9519,2031.35,43.6759,43536.49,21120.175
